coord,interval,distance,elevation
"(48.384071, 11.081153)",301.080622,37474.915012000005,495
"(48.385338, 11.079301)",196.404769,37671.319781000006,495
"(48.386099, 11.078176)",118.617478,37789.937259000006,491
"(48.386847, 11.077079)",116.136792,37906.074051,489
"(48.388044, 11.075318)",186.132211,38092.206262,479
"(48.388335, 11.074875)",46.025026,38138.231288,479
"(48.38957, 11.073115)",189.125075,38327.356363000006,479
"(48.390428, 11.071801)",136.112244,38463.46860700001,471
"(48.391691, 11.069794)",204.225212,38667.69381900001,478
"(48.392286, 11.06877)",100.497182,38768.19100100001,478
"(48.392609, 11.068179)",56.532849,38824.72385000001,474
"(48.392874, 11.067662)",48.236717,38872.96056700001,474
"(48.393176, 11.067066)",55.370754,38928.33132100001,474
"(48.393612, 11.066129)",84.50297,39012.834291000014,468
"(48.393869, 11.065547)",51.620821,39064.45511200001,468
"(48.394333, 11.064393)",99.63604,39164.09115200001,465
"(48.394817, 11.06301)",115.458329,39279.54948100001,465
"(48.395194, 11.061796)",98.979091,39378.52857200001,464
"(48.395393, 11.061086)",56.915748,39435.44432000001,464
"(48.395536, 11.060521)",44.655363,39480.09968300001,464
"(48.395671, 11.059963)",43.860037,39523.959720000006,463
"(48.395907, 11.058855)",85.935361,39609.89508100001,462
"(48.396099, 11.05782)",79.363847,39689.25892800001,473
"(48.396234, 11.057027)",60.458648,39749.71757600001,473
"(48.396337, 11.05631)",54.176629,39803.89420500001,473
"(48.396421, 11.055605)",52.896827,39856.79103200001,484
"(48.396513, 11.054713)",66.665284,39923.45631600001,484
"(48.396576, 11.053977)",54.804209,39978.26052500001,485
"(48.396614, 11.05334)",47.232575,40025.493100000014,485
"(48.396652, 11.052439)",66.673802,40092.16690200001,485
"(48.396679, 11.051624)",60.263354,40152.430256000014,482
"(48.396683, 11.050908)",52.879098,40205.30935400001,482
"(48.396667, 11.049942)",71.362146,40276.67150000001,478
"(48.396638, 11.049008)",69.052132,40345.72363200001,478
"(48.396579, 11.047776)",91.220758,40436.94439000001,477
"(48.396217, 11.038858)",659.83538,41096.77977000001,477
"(48.396098, 11.03619)",197.480222,41294.25999200001,482
"(48.396065, 11.03519)",73.9429,41368.20289200001,487
"(48.396053, 11.034182)",74.454556,41442.657448000005,487
"(48.396068, 11.033167)",74.978116,41517.635564000004,490
"(48.396118, 11.032131)",76.712241,41594.347805000005,490
"(48.39619, 11.031117)",75.31255,41669.66035500001,491
"(48.396327, 11.029773)",100.419269,41770.079624000005,491
"(48.396468, 11.028708)",80.199943,41850.279567000005,483
"(48.396665, 11.027479)",93.370373,41943.64994,483
"(48.396916, 11.026219)",97.149678,42040.799618000005,479
"(48.397158, 11.025119)",85.578626,42126.37824400001,479
