coord,interval,distance,elevation
"(48.396187, 11.056277)",52.707852,35871.68540000002,473
"(48.396083, 11.056991)",53.983982,35925.669382000015,473
"(48.395953, 11.057767)",59.104984,35984.77436600001,473
"(48.395762, 11.058812)",80.045995,36064.82036100001,463
"(48.395524, 11.059913)",85.512073,36150.33243400001,463
"(48.395244, 11.061038)",88.729468,36239.06190200001,464
"(48.395047, 11.06173)",55.60554,36294.667442000005,464
"(48.394781, 11.062617)",71.879351,36366.54679300001,465
"(48.394485, 11.06351)",73.712423,36440.259216000006,465
"(48.394207, 11.064271)",64.147413,36504.406629000005,465
"(48.393726, 11.065471)",103.521797,36607.928426000006,468
"(48.3934, 11.06621)",65.525978,36673.454404000004,468
"(48.393031, 11.066985)",70.43233,36743.88673400001,474
"(48.392718, 11.067604)",57.463529,36801.35026300001,474
"(48.392172, 11.068629)",97.052004,36898.402267000005,474
"(48.391633, 11.069551)",90.726553,36989.128820000005,470
"(48.391303, 11.070088)",54.039859,37043.168679,470
"(48.39031, 11.071666)",160.56971,37203.738389000006,471
"(48.389433, 11.072969)",137.030525,37340.76891400001,479
"(48.388291, 11.074662)",178.245278,37519.01419200001,479
"(48.388025, 11.075045)",40.934652,37559.94884400001,479
"(48.386975, 11.076586)",163.081013,37723.029857000016,489
"(48.386731, 11.076947)",38.047026,37761.076883000016,489
"(48.385982, 11.078061)",117.095624,37878.17250700002,491
"(48.385242, 11.079137)",114.419056,37992.591563000016,496
"(48.383985, 11.080986)",195.453486,38188.045049000015,495
"(48.38204, 11.083833)",301.713707,38489.75875600002,490
"(48.380862, 11.085593)",184.585255,38674.344011000016,504
"(48.379757, 11.087315)",176.885778,38851.22978900002,504
"(48.378225, 11.089686)",244.371018,39095.60080700002,510
"(48.374924, 11.094877)",530.929356,39626.53016300002,524
"(48.373215, 11.097585)",275.977193,39902.50735600002,513
"(48.371365, 11.100553)",300.717142,40203.22449800002,530
"(48.370795, 11.101529)",96.020646,40299.245144000015,521
"(48.370438, 11.102196)",63.289793,40362.53493700002,523
"(48.370224, 11.102653)",41.31329,40403.84822700002,523
"(48.369843, 11.103442)",72.07347,40475.92169700002,523
"(48.369678, 11.103813)",32.989244,40508.91094100002,523
"(48.369455, 11.104334)",45.795371,40554.70631200002,525
"(48.369029, 11.105431)",93.89093,40648.59724200002,525
"(48.368553, 11.1068)",114.174552,40762.771794000015,544
"(48.368102, 11.108271)",119.712037,40882.48383100001,544
"(48.367787, 11.109465)",94.929843,40977.41367400001,535
"(48.367407, 11.111225)",136.747547,41114.16122100001,536
"(48.367081, 11.112603)",108.088751,41222.24997200001,541
"(48.36663, 11.114372)",140.013316,41362.26328800001,515
"(48.366219, 11.115815)",116.016225,41478.27951300001,530
"(48.365731, 11.117328)",124.282891,41602.56240400001,545
"(48.365248, 11.118639)",110.776359,41713.338763000014,545
"(48.364719, 11.119874)",108.585743,41821.92450600002,552
"(48.364282, 11.120826)",85.508623,41907.43312900002,517
"(48.36384, 11.12172)",82.349798,41989.78292700002,521
"(48.363349, 11.122622)",86.171989,42075.954916000024,521
"(48.362845, 11.123455)",83.258269,42159.21318500002,521
"(48.362365, 11.124205)",76.9565,42236.16968500002,508
"(48.361756, 11.125115)",95.450725,42331.620410000025,513
"(48.361026, 11.126079)",108.018645,42439.63905500002,513
"(48.360352, 11.12688)",95.520638,42535.15969300002,500
"(48.359551, 11.127734)",109.182553,42644.34224600002,499
"(48.358415, 11.128788)",148.435043,42792.77728900002,499
"(48.357633, 11.1295)",101.658205,42894.43549400002,494
"(48.356138, 11.130718)",189.086935,43083.52242900002,496
"(48.355748, 11.131046)",49.692765,43133.21519400002,496
"(48.353871, 11.132582)",237.643258,43370.858452000015,482
"(48.352433, 11.133812)",183.976362,43554.834814000016,485
"(48.351574, 11.134633)",113.186501,43668.02131500001,496
"(48.350662, 11.135663)",126.831416,43794.85273100001,486
"(48.350535, 11.13581)",17.821462,43812.67419300001,486
"(48.350144, 11.136276)",55.478386,43868.152579000016,486
"(48.349439, 11.137205)",104.232919,43972.38549800002,493
"(48.348878, 11.138006)",86.019204,44058.404702000014,496
"(48.348219, 11.139037)",105.739891,44164.14459300001,496
"(48.347801, 11.139737)",69.563721,44233.70831400001,493
"(48.347095, 11.141002)",122.109538,44355.81785200001,493
"(48.346341, 11.142495)",138.615591,44494.43344300001,505
"(48.345591, 11.14416)",148.689537,44643.12298000001,538
"(48.345135, 11.145156)",89.407829,44732.53080900001,538
"(48.344506, 11.146493)",121.094106,44853.62491500001,534
"(48.344089, 11.147404)",81.773481,44935.398396000004,534
"(48.342062, 11.151729)",391.235047,45326.633443000006,539
"(48.341698, 11.152502)",70.036149,45396.669592000006,543
"(48.341017, 11.153843)",124.765348,45521.43494000001,541
"(48.340378, 11.154952)",108.507755,45629.942695000005,535
"(48.340026, 11.155511)",56.928841,45686.871536000006,535
"(48.339587, 11.156167)",68.822142,45755.693678,535
"(48.339006, 11.15697)",87.753954,45843.447632,533
"(48.338282, 11.157899)",105.841662,45949.289294,533
"(48.337608, 11.158666)",93.99941,46043.288704,532
"(48.336752, 11.159519)",114.20384,46157.492544,529
"(48.335208, 11.161015)",204.273161,46361.765705,529
"(48.333635, 11.162496)",206.403508,46568.169213,529
"(48.332861, 11.16322)",101.377035,46669.546248,526
"(48.332205, 11.163907)",88.90669,46758.452938,526
"(48.331713, 11.164486)",69.481542,46827.93448,526
"(48.33116, 11.165183)",80.247288,46908.181768,510
"(48.330632, 11.165891)",78.675653,46986.857421,510
"(48.330038, 11.166703)",89.27736,47076.134781,520
"(48.329365, 11.167752)",107.799139,47183.93392,520
"(48.328721, 11.168785)",104.719377,47288.653297000004,526
"(48.327674, 11.170615)",178.536935,47467.190232,526
"(48.326613, 11.172656)",191.593734,47658.783966,514
"(48.325701, 11.174442)",166.538217,47825.322183000004,495
"(48.32473, 11.176535)",188.740931,48014.063114000004,527
"(48.322567, 11.181116)",415.527157,48429.590271,510
"(48.320307, 11.186066)",444.092782,48873.683053,507
"(48.319392, 11.188081)",180.468053,49054.151106,512
"(48.31795, 11.191039)",271.277668,49325.428774,501
"(48.316639, 11.193519)",234.331989,49559.760763,490
"(48.316243, 11.194234)",68.825933,49628.586696,487
"(48.315478, 11.19558)",130.967166,49759.553862,487
"(48.314746, 11.19678)",120.447965,49880.001827,485
"(48.314454, 11.197266)",48.447751,49928.449578,497
"(48.313787, 11.198382)",110.988997,50039.438575,497
"(48.312797, 11.199903)",157.428922,50196.867497,497
"(48.311105, 11.202358)",261.529982,50458.397479,499
